nuclear_consumption,geothermal_consumption,biomass_consumption,coal_consumption,wind_consumption,solar_consumption,hydro_consumption,gas_consumption,oil_consumption,unknown_consumption,hydro discharge_consumption,battery discharge_consumption,nuclear_production,geothermal_production,biomass_production,coal_production,wind_production,solar_production,hydro_production,gas_production,oil_production,unknown_production,hydro discharge_production,battery discharge_production,datetime,zone,updatedAt,createdAt,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,isEstimated,estimationMethod
0,0,0,776,65,0,0,622,0,237,0,0,,,,776,65,0,0,622,,237,,,2024-11-07T12:00:00.000Z,US-CAL-LDWP,2024-11-07T11:43:55.536Z,2024-11-04T12:48:56.917Z,4,4,1701,1701,,,True,TIME_SLICER_AVERAGE
0,0,0,776,65,0,0,622,0,237,0,0,,,,776,65,0,0,622,,237,,,2024-11-07T12:00:00.000Z,US-CAL-LDWP,2024-11-07T11:43:55.536Z,2024-11-04T12:48:56.917Z,4,4,1701,1701,,,True,TIME_SLICER_AVERAGE
0,0,0,776,65,0,0,622,0,237,0,0,,,,776,65,0,0,622,,237,,,2024-11-07T13:00:00.000Z,US-CAL-LDWP,2024-11-07T11:43:55.536Z,2024-11-04T13:46:34.291Z,4,4,1701,1701,,,True,TIME_SLICER_AVERAGE
0,0,0,829,71,0,3,678,0,234,0,0,,,,829,71,0,3,678,,234,,,2024-11-07T13:00:00.000Z,US-CAL-LDWP,2024-11-07T13:45:38.495Z,2024-11-04T13:46:34.291Z,4,4,1815,1815,,,True,TIME_SLICER_AVERAGE
0,0,0,769,73,78,0,672,0,227,0,0,,,,769,73,78,0,672,,227,,,2024-11-07T14:00:00.000Z,US-CAL-LDWP,2024-11-07T13:45:38.495Z,2024-11-04T14:50:22.571Z,8,8,1818,1818,,,True,TIME_SLICER_AVERAGE
0,0,0,281,0,0,0,409,0,188,0,0,,,,281,0,0,0,409,,188,,,2024-11-07T14:00:00.000Z,US-CAL-LDWP,2024-11-07T14:44:48.732Z,2024-11-04T14:50:22.571Z,0,0,877,877,,,True,TIME_SLICER_AVERAGE
0,0,0,152,0,246,0,180,0,140,0,0,,,,152,0,246,0,180,,140,,,2024-11-07T15:00:00.000Z,US-CAL-LDWP,2024-11-07T14:44:43.594Z,2024-11-04T15:49:21.979Z,34,34,718,718,,,True,TIME_SLICER_AVERAGE
0,0,0,152,0,246,0,180,0,140,0,0,,,,152,0,246,0,180,,140,,,2024-11-07T15:00:00.000Z,US-CAL-LDWP,2024-11-07T14:44:43.594Z,2024-11-04T15:49:21.979Z,34,34,718,718,,,True,TIME_SLICER_AVERAGE
0,0,0,152,0,246,0,180,0,140,0,0,,,,152,0,246,0,180,,140,,,2024-11-07T16:00:00.000Z,US-CAL-LDWP,2024-11-07T14:44:43.594Z,2024-11-04T16:45:50.567Z,34,34,718,718,,,True,TIME_SLICER_AVERAGE
0,0,0,12,0,599,0,75,0,102,0,0,,,,12,0,599,0,75,,102,,,2024-11-07T16:00:00.000Z,US-CAL-LDWP,2024-11-07T16:43:55.251Z,2024-11-04T16:45:50.567Z,76,76,789,789,,,True,TIME_SLICER_AVERAGE
0,0,0,575,106,0,67,470,0,230,0,0,,,,575,106,0,67,470,,230,,,2024-11-08T01:00:00.000Z,US-CAL-LDWP,2024-11-08T00:44:12.254Z,2024-11-05T01:46:04.170Z,12,12,1448,1448,,,True,TIME_SLICER_AVERAGE
0,0,0,870,107,0,149,656,0,236,0,0,,,,870,107,0,149,656,,236,,,2024-11-08T02:00:00.000Z,US-CAL-LDWP,2024-11-08T01:46:46.367Z,2024-11-05T02:45:56.920Z,13,13,2019,2019,,,True,TIME_SLICER_AVERAGE
0,0,0,870,107,0,149,656,0,236,0,0,,,,870,107,0,149,656,,236,,,2024-11-08T02:00:00.000Z,US-CAL-LDWP,2024-11-08T01:46:46.367Z,2024-11-05T02:45:56.920Z,13,13,2019,2019,,,True,TIME_SLICER_AVERAGE
0,0,0,874,96,0,124,645,0,238,0,0,,,,874,96,0,124,645,,238,,,2024-11-08T03:00:00.000Z,US-CAL-LDWP,2024-11-08T02:44:15.090Z,2024-11-05T03:45:09.708Z,11,11,1978,1978,,,True,TIME_SLICER_AVERAGE
0,0,0,901,75,0,83,643,0,239,0,0,,,,901,75,0,83,643,,239,,,2024-11-08T05:00:00.000Z,US-CAL-LDWP,2024-11-08T04:45:28.513Z,2024-11-05T05:48:06.202Z,8,8,1941,1941,,,True,TIME_SLICER_AVERAGE
0,0,0,876,67,0,82,652,0,238,0,0,,,,876,67,0,82,652,,238,,,2024-11-08T06:00:00.000Z,US-CAL-LDWP,2024-11-08T05:45:39.520Z,2024-11-05T06:44:30.465Z,8,8,1915,1915,,,True,TIME_SLICER_AVERAGE
0,0,0,876,67,0,82,652,0,238,0,0,,,,876,67,0,82,652,,238,,,2024-11-08T06:00:00.000Z,US-CAL-LDWP,2024-11-08T05:45:39.520Z,2024-11-05T06:44:30.465Z,8,8,1915,1915,,,True,TIME_SLICER_AVERAGE
0,0,0,793,60,0,83,660,0,236,0,0,,,,793,60,0,83,660,,236,,,2024-11-08T07:00:00.000Z,US-CAL-LDWP,2024-11-08T06:45:42.135Z,2024-11-05T07:45:44.207Z,8,8,1831,1831,,,True,TIME_SLICER_AVERAGE
