nuclear_consumption,geothermal_consumption,biomass_consumption,coal_consumption,wind_consumption,solar_consumption,hydro_consumption,gas_consumption,oil_consumption,unknown_consumption,hydro discharge_consumption,battery discharge_consumption,nuclear_production,geothermal_production,biomass_production,coal_production,wind_production,solar_production,hydro_production,gas_production,oil_production,unknown_production,hydro discharge_production,battery discharge_production,datetime,zone,updatedAt,createdAt,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,isEstimated,estimationMethod
0,0,0,1030,75,0,85,684,0,249,0,0,,,,1030,75,0,85,684,,249,,,2024-11-07T06:00:00.000Z,US-CAL-LDWP,2024-11-07T05:45:02.670Z,2024-11-04T06:44:56.292Z,8,8,2122,2122,,,True,TIME_SLICER_AVERAGE
 0,0,0,926,66,0,85,694,0,246,0,0,,,,926,66,0,85,694,,246,,,2024-11-07T07:00:00.000Z,US-CAL-LDWP,2024-11-07T06:45:18.845Z,2024-11-04T07:47:42.215Z,7,8,2017,2017,,,True,TIME_SLICER_AVERAGE
0,0,0,926,66,0,85,694,0,246,0,0,,,,926,66,0,85,694,,246,,,2024-11-07T07:00:00.000Z,US-CAL-LDWP,2024-11-07T06:45:18.845Z,2024-11-04T07:47:42.215Z,7,8,2017,2017,,,True,TIME_SLICER_AVERAGE
0,0,0,926,66,0,85,694,0,246,0,0,,,,926,66,0,85,694,,246,,,2024-11-07T08:00:00.000Z,US-CAL-LDWP,2024-11-07T06:46:08.528Z,2024-11-04T08:44:20.492Z,7,8,2017,2017,,,True,TIME_SLICER_AVERAGE
0,0,0,846,64,0,85,645,0,243,0,0,,,,846,64,0,85,645,,243,,,2024-11-07T08:00:00.000Z,US-CAL-LDWP,2024-11-07T08:45:49.122Z,2024-11-04T08:44:20.492Z,8,8,1883,1883,,,True,TIME_SLICER_AVERAGE
0,0,0,846,64,0,85,645,0,243,0,0,,,,846,64,0,85,645,,243,,,2024-11-07T09:00:00.000Z,US-CAL-LDWP,2024-11-07T08:45:13.861Z,2024-11-04T09:47:06.909Z,8,8,1883,1883,,,True,TIME_SLICER_AVERAGE
0,0,0,720,52,0,82,638,0,236,0,0,,,,720,52,0,82,638,,236,,,2024-11-07T09:00:00.000Z,US-CAL-LDWP,2024-11-07T09:44:07.026Z,2024-11-04T09:47:06.909Z,8,8,1728,1728,,,True,TIME_SLICER_AVERAGE
0,0,0,764,49,0,0,643,0,236,0,0,,,,764,49,0,0,643,,236,,,2024-11-07T10:00:00.000Z,US-CAL-LDWP,2024-11-07T09:44:07.026Z,2024-11-04T10:44:55.463Z,3,3,1692,1692,,,True,TIME_SLICER_AVERAGE
0,0,0,764,49,0,0,643,0,236,0,0,,,,764,49,0,0,643,,236,,,2024-11-07T10:00:00.000Z,US-CAL-LDWP,2024-11-07T09:44:07.026Z,2024-11-04T10:44:55.463Z,3,3,1692,1692,,,True,TIME_SLICER_AVERAGE
0,0,0,745,50,0,0,616,0,236,0,0,,,,745,50,0,0,616,,236,,,2024-11-07T11:00:00.000Z,US-CAL-LDWP,2024-11-07T10:44:59.003Z,2024-11-04T11:46:43.140Z,3,3,1646,1646,,,True,TIME_SLICER_AVERAGE
0,0,0,745,50,0,0,616,0,236,0,0,,,,745,50,0,0,616,,236,,,2024-11-07T11:00:00.000Z,US-CAL-LDWP,2024-11-07T10:44:59.003Z,2024-11-04T11:46:43.140Z,3,3,1646,1646,,,True,TIME_SLICER_AVERAGE
