nuclear_consumption,geothermal_consumption,biomass_consumption,coal_consumption,wind_consumption,solar_consumption,hydro_consumption,gas_consumption,oil_consumption,unknown_consumption,hydro discharge_consumption,battery discharge_consumption,nuclear_production,geothermal_production,biomass_production,coal_production,wind_production,solar_production,hydro_production,gas_production,oil_production,unknown_production,hydro discharge_production,battery discharge_production,datetime,zone,updatedAt,createdAt,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,isEstimated,estimationMethod
0,0,0,502,46,1297,0,548,0,85,0,0,,,,502,46,1297,0,548,,85,,,2024-11-09T19:00:00.000Z,US-CAL-LDWP,2024-11-09T18:43:11.899Z,2024-11-06T19:45:43.927Z,54,54,2477,2477,,,True,TIME_SLICER_AVERAGE
0,0,0,502,46,1297,0,548,0,85,0,0,,,,502,46,1297,0,548,,85,,,2024-11-09T19:00:00.000Z,US-CAL-LDWP,2024-11-09T18:43:11.899Z,2024-11-06T19:45:43.927Z,54,54,2477,2477,,,True,TIME_SLICER_AVERAGE
0,0,0,539,85,1292,36,560,0,85,0,0,,,,539,85,1292,36,560,,85,,,2024-11-09T20:00:00.000Z,US-CAL-LDWP,2024-11-09T19:43:06.940Z,2024-11-06T20:44:40.369Z,54,54,2596,2596,,,True,TIME_SLICER_AVERAGE
0,0,0,539,85,1292,36,560,0,85,0,0,,,,539,85,1292,36,560,,85,,,2024-11-09T20:00:00.000Z,US-CAL-LDWP,2024-11-09T19:43:06.940Z,2024-11-06T20:44:40.369Z,54,54,2596,2596,,,True,TIME_SLICER_AVERAGE
0,0,0,539,85,1292,36,560,0,85,0,0,,,,539,85,1292,36,560,,85,,,2024-11-09T21:00:00.000Z,US-CAL-LDWP,2024-11-09T19:43:06.940Z,2024-11-06T21:47:38.288Z,54,54,2596,2596,,,True,TIME_SLICER_AVERAGE
0,0,0,417,95,1066,13,514,0,82,0,0,,,,417,95,1066,13,514,,82,,,2024-11-09T21:00:00.000Z,US-CAL-LDWP,2024-11-09T21:42:58.831Z,2024-11-06T21:47:38.288Z,54,54,2186,2186,,,True,TIME_SLICER_AVERAGE
0,0,0,417,95,1066,13,514,0,82,0,0,,,,417,95,1066,13,514,,82,,,2024-11-09T22:00:00.000Z,US-CAL-LDWP,2024-11-09T21:42:58.831Z,2024-11-06T22:44:14.557Z,54,54,2186,2186,,,True,TIME_SLICER_AVERAGE
0,0,0,424,62,924,42,490,0,89,0,0,,,,424,62,924,42,490,,89,,,2024-11-09T22:00:00.000Z,US-CAL-LDWP,2024-11-09T22:47:01.131Z,2024-11-06T22:44:14.557Z,51,51,2030,2030,,,True,TIME_SLICER_AVERAGE
0,0,0,496,52,751,91,613,0,126,0,0,,,,496,52,751,91,613,,126,,,2024-11-09T23:00:00.000Z,US-CAL-LDWP,2024-11-09T22:47:01.131Z,2024-11-06T23:44:32.443Z,42,42,2129,2129,,,True,TIME_SLICER_AVERAGE
0,0,0,520,28,406,303,899,0,178,0,0,,,,520,28,406,303,899,,178,,,2024-11-09T23:00:00.000Z,US-CAL-LDWP,2024-11-09T23:44:16.333Z,2024-11-06T23:44:32.443Z,32,32,2333,2333,,,True,TIME_SLICER_AVERAGE
