nuclear_consumption,geothermal_consumption,biomass_consumption,coal_consumption,wind_consumption,solar_consumption,hydro_consumption,gas_consumption,oil_consumption,unknown_consumption,hydro discharge_consumption,battery discharge_consumption,nuclear_production,geothermal_production,biomass_production,coal_production,wind_production,solar_production,hydro_production,gas_production,oil_production,unknown_production,hydro discharge_production,battery discharge_production,datetime,zone,updatedAt,createdAt,fossilFreePercentage,renewablePercentage,powerConsumptionTotal,powerProductionTotal,powerImportTotal,powerExportTotal,isEstimated,estimationMethod
0,0,0,687,20,116,418,1348,0,234,0,0,,,,687,20,116,418,1348,,234,,,2024-11-10T00:00:00.000Z,US-CAL-LDWP,2024-11-09T23:44:21.110Z,2024-11-07T00:45:37.598Z,20,20,2822,2822,,,True,TIME_SLICER_AVERAGE
0,0,0,687,20,116,418,1348,0,234,0,0,,,,687,20,116,418,1348,,234,,,2024-11-10T00:00:00.000Z,US-CAL-LDWP,2024-11-09T23:44:21.110Z,2024-11-07T00:45:37.598Z,20,20,2822,2822,,,True,TIME_SLICER_AVERAGE
0,0,0,687,20,116,418,1348,0,234,0,0,,,,687,20,116,418,1348,,234,,,2024-11-10T01:00:00.000Z,US-CAL-LDWP,2024-11-09T23:44:16.333Z,2024-11-07T01:45:07.971Z,20,20,2822,2822,,,True,TIME_SLICER_AVERAGE
0,0,0,694,14,0,493,1345,0,246,0,0,,,,694,14,0,493,1345,,246,,,2024-11-10T01:00:00.000Z,US-CAL-LDWP,2024-11-10T01:43:29.581Z,2024-11-07T01:45:07.971Z,18,18,2792,2792,,,True,TIME_SLICER_AVERAGE
0,0,0,571,0,0,388,961,0,246,0,0,,,,571,0,0,388,961,,246,,,2024-11-10T02:00:00.000Z,US-CAL-LDWP,2024-11-10T01:43:29.581Z,2024-11-07T02:46:10.056Z,18,18,2165,2165,,,True,TIME_SLICER_AVERAGE
0,0,0,571,0,0,388,961,0,246,0,0,,,,571,0,0,388,961,,246,,,2024-11-10T02:00:00.000Z,US-CAL-LDWP,2024-11-10T01:43:29.581Z,2024-11-07T02:46:10.056Z,18,18,2165,2165,,,True,TIME_SLICER_AVERAGE
0,0,0,571,0,0,388,961,0,246,0,0,,,,571,0,0,388,961,,246,,,2024-11-10T03:00:00.000Z,US-CAL-LDWP,2024-11-10T01:42:31.254Z,2024-11-07T03:45:25.629Z,18,18,2165,2165,,,True,TIME_SLICER_AVERAGE
0,0,0,551,22,0,422,983,0,244,0,0,,,,551,22,0,422,983,,244,,,2024-11-10T03:00:00.000Z,US-CAL-LDWP,2024-11-10T03:44:40.533Z,2024-11-07T03:45:25.629Z,20,20,2222,2222,,,True,TIME_SLICER_AVERAGE
0,0,0,551,22,0,422,983,0,244,0,0,,,,551,22,0,422,983,,244,,,2024-11-10T04:00:00.000Z,US-CAL-LDWP,2024-11-10T03:44:40.533Z,2024-11-07T04:44:14.081Z,20,20,2222,2222,,,True,TIME_SLICER_AVERAGE
0,0,0,584,11,0,344,1007,0,245,0,0,,,,584,11,0,344,1007,,245,,,2024-11-10T04:00:00.000Z,US-CAL-LDWP,2024-11-10T04:40:15.708Z,2024-11-07T04:44:14.081Z,16,16,2192,2192,,,True,TIME_SLICER_AVERAGE
0,0,0,584,11,0,344,1007,0,245,0,0,,,,584,11,0,344,1007,,245,,,2024-11-10T05:00:00.000Z,US-CAL-LDWP,2024-11-10T04:40:15.708Z,2024-11-07T05:45:13.421Z,16,16,2192,2192,,,True,TIME_SLICER_AVERAGE
0,0,0,594,7,0,361,1035,0,249,0,0,,,,594,7,0,361,1035,,249,,,2024-11-10T05:00:00.000Z,US-CAL-LDWP,2024-11-10T05:43:56.957Z,2024-11-07T05:45:13.421Z,16,16,2246,2246,,,True,TIME_SLICER_AVERAGE
0,0,0,594,7,0,361,1035,0,249,0,0,,,,594,7,0,361,1035,,249,,,2024-11-10T06:00:00.000Z,US-CAL-LDWP,2024-11-10T05:44:01.553Z,2024-11-07T06:45:18.845Z,16,16,2246,2246,,,True,TIME_SLICER_AVERAGE
0,0,0,619,5,0,362,1072,0,257,0,0,,,,619,5,0,362,1072,,257,,,2024-11-10T06:00:00.000Z,US-CAL-LDWP,2024-11-10T06:42:26.831Z,2024-11-07T06:45:18.845Z,16,16,2315,2315,,,True,TIME_SLICER_AVERAGE
0,0,0,575,1,0,239,1065,0,252,0,0,,,,575,1,0,239,1065,,252,,,2024-11-10T07:00:00.000Z,US-CAL-LDWP,2024-11-10T06:42:26.831Z,2024-11-07T07:42:34.809Z,11,11,2133,2133,,,True,TIME_SLICER_AVERAGE
0,0,0,575,1,0,239,1065,0,252,0,0,,,,575,1,0,239,1065,,252,,,2024-11-10T07:00:00.000Z,US-CAL-LDWP,2024-11-10T06:42:26.831Z,2024-11-07T07:42:34.809Z,11,11,2133,2133,,,True,TIME_SLICER_AVERAGE
0,0,0,575,1,0,239,1065,0,252,0,0,,,,575,1,0,239,1065,,252,,,2024-11-10T08:00:00.000Z,US-CAL-LDWP,2024-11-10T06:42:23.297Z,2024-11-07T08:45:45.706Z,11,11,2133,2133,,,True,TIME_SLICER_AVERAGE
0,0,0,547,0,0,239,1039,0,248,0,0,,,,547,0,0,239,1039,,248,,,2024-11-10T08:00:00.000Z,US-CAL-LDWP,2024-11-10T08:43:21.488Z,2024-11-07T08:45:45.706Z,12,12,2073,2073,,,True,TIME_SLICER_AVERAGE
0,0,0,547,0,0,239,1039,0,248,0,0,,,,547,0,0,239,1039,,248,,,2024-11-10T09:00:00.000Z,US-CAL-LDWP,2024-11-10T08:43:06.636Z,2024-11-07T09:44:07.026Z,12,12,2073,2073,,,True,TIME_SLICER_AVERAGE
0,0,0,641,0,0,259,1035,0,235,0,0,,,,641,0,0,259,1035,,235,,,2024-11-10T09:00:00.000Z,US-CAL-LDWP,2024-11-10T09:42:08.646Z,2024-11-07T09:44:07.026Z,12,12,2169,2169,,,True,TIME_SLICER_AVERAGE
0,0,0,641,0,0,259,1035,0,235,0,0,,,,641,0,0,259,1035,,235,,,2024-11-10T10:00:00.000Z,US-CAL-LDWP,2024-11-10T09:42:04.801Z,2024-11-07T10:44:44.524Z,12,12,2169,2169,,,True,TIME_SLICER_AVERAGE
0,0,0,569,0,0,241,1020,0,235,0,0,,,,569,0,0,241,1020,,235,,,2024-11-10T10:00:00.000Z,US-CAL-LDWP,2024-11-10T10:44:30.133Z,2024-11-07T10:44:44.524Z,12,12,2066,2066,,,True,TIME_SLICER_AVERAGE
0,0,0,521,0,0,241,1001,0,236,0,0,,,,521,0,0,241,1001,,236,,,2024-11-10T11:00:00.000Z,US-CAL-LDWP,2024-11-10T10:44:30.133Z,2024-11-07T11:43:55.536Z,12,12,1999,1999,,,True,TIME_SLICER_AVERAGE
0,0,0,521,0,0,241,1001,0,236,0,0,,,,521,0,0,241,1001,,236,,,2024-11-10T11:00:00.000Z,US-CAL-LDWP,2024-11-10T10:44:30.133Z,2024-11-07T11:43:55.536Z,12,12,1999,1999,,,True,TIME_SLICER_AVERAGE
0,0,0,512,0,0,242,1056,0,238,0,0,,,,512,0,0,242,1056,,238,,,2024-11-10T12:00:00.000Z,US-CAL-LDWP,2024-11-10T11:44:01.397Z,2024-11-07T12:45:29.799Z,12,12,2047,2047,,,True,TIME_SLICER_AVERAGE
0,0,0,512,0,0,242,1056,0,238,0,0,,,,512,0,0,242,1056,,238,,,2024-11-10T12:00:00.000Z,US-CAL-LDWP,2024-11-10T11:44:01.397Z,2024-11-07T12:45:29.799Z,12,12,2047,2047,,,True,TIME_SLICER_AVERAGE
0,0,0,654,0,0,262,1014,0,236,0,0,,,,654,0,0,262,1014,,236,,,2024-11-10T13:00:00.000Z,US-CAL-LDWP,2024-11-10T12:43:11.454Z,2024-11-07T13:45:53.283Z,12,12,2166,2166,,,True,TIME_SLICER_AVERAGE
0,0,0,372,0,0,0,238,0,165,0,0,,,,372,0,0,0,238,,165,,,2024-11-10T13:00:00.000Z,US-CAL-LDWP,2024-11-10T13:42:43.739Z,2024-11-07T13:45:53.283Z,0,0,774,774,,,True,TIME_SLICER_AVERAGE
0,0,0,518,0,481,0,310,0,161,0,0,,,,518,0,481,0,310,,161,,,2024-11-10T14:00:00.000Z,US-CAL-LDWP,2024-11-10T13:42:43.739Z,2024-11-07T14:44:48.732Z,33,33,1470,1470,,,True,TIME_SLICER_AVERAGE
0,0,0,518,0,481,0,310,0,161,0,0,,,,518,0,481,0,310,,161,,,2024-11-10T14:00:00.000Z,US-CAL-LDWP,2024-11-10T13:42:43.739Z,2024-11-07T14:44:48.732Z,33,33,1470,1470,,,True,TIME_SLICER_AVERAGE
0,0,0,518,0,481,0,310,0,161,0,0,,,,518,0,481,0,310,,161,,,2024-11-10T15:00:00.000Z,US-CAL-LDWP,2024-11-10T13:42:35.465Z,2024-11-07T15:44:54.266Z,33,33,1470,1470,,,True,TIME_SLICER_AVERAGE
0,0,0,397,0,809,0,173,0,115,0,0,,,,397,0,809,0,173,,115,,,2024-11-10T15:00:00.000Z,US-CAL-LDWP,2024-11-10T15:41:18.523Z,2024-11-07T15:44:54.266Z,54,54,1494,1494,,,True,TIME_SLICER_AVERAGE
0,0,0,397,0,809,0,173,0,115,0,0,,,,397,0,809,0,173,,115,,,2024-11-10T16:00:00.000Z,US-CAL-LDWP,2024-11-10T15:41:18.523Z,2024-11-07T16:44:26.136Z,54,54,1494,1494,,,True,TIME_SLICER_AVERAGE
0,0,0,127,0,829,0,79,0,74,0,0,,,,127,0,829,0,79,,74,,,2024-11-10T16:00:00.000Z,US-CAL-LDWP,2024-11-10T16:43:38.416Z,2024-11-07T16:44:26.136Z,75,75,1109,1109,,,True,TIME_SLICER_AVERAGE
0,0,0,208,0,1297,0,211,0,65,0,0,,,,208,0,1297,0,211,,65,,,2024-11-10T17:00:00.000Z,US-CAL-LDWP,2024-11-10T16:43:38.416Z,2024-11-07T17:46:04.098Z,73,73,1780,1780,,,True,TIME_SLICER_AVERAGE
0,0,0,208,0,1297,0,211,0,65,0,0,,,,208,0,1297,0,211,,65,,,2024-11-10T17:00:00.000Z,US-CAL-LDWP,2024-11-10T16:43:38.416Z,2024-11-07T17:46:04.098Z,73,73,1780,1780,,,True,TIME_SLICER_AVERAGE
0,0,0,179,17,1400,0,59,0,62,0,0,,,,179,17,1400,0,59,,62,,,2024-11-10T18:00:00.000Z,US-CAL-LDWP,2024-11-10T17:39:51.516Z,2024-11-07T18:43:58.046Z,83,83,1718,1718,,,True,TIME_SLICER_AVERAGE
0,0,0,179,17,1400,0,59,0,62,0,0,,,,179,17,1400,0,59,,62,,,2024-11-10T18:00:00.000Z,US-CAL-LDWP,2024-11-10T17:39:51.516Z,2024-11-07T18:43:58.046Z,83,83,1718,1718,,,True,TIME_SLICER_AVERAGE
