,time,instance_events_type,collection_id,scheduling_class,collection_type,priority,alloc_collection_id,instance_index,machine_id,resource_request
1201,31243725910,0,2.61379E+11,2,0,360,2.21495E+11,2,319971200,"{'cpus': 0.00310516357421875, 'memory': 0.0013027191162109375}"
1202,1.05761E+12,5,2.61561E+11,2,0,360,2.61561E+11,166,527526819,"{'cpus': 0.022857666015625, 'memory': 0.0013027191162109375}"
1203,1.50631E+12,6,3.58931E+11,0,0,103,0,1096,17852263065,"{'cpus': 0.0018482208251953125, 'memory': 0.0012454986572265625}"
1204,0,2,34100,3,1,200,0,388,1.83161E+11,"{'cpus': 0.0638427734375, 'memory': 0.03125}"
1205,2.40304E+12,3,1.28074E+11,2,0,0,0,5255,5.58992E+11,"{'cpus': 0.002552032470703125, 'memory': 0.00023651123046875}"
1206,8.15868E+11,0,2.94545E+11,1,0,103,0,7074,1.91906E+11,"{'cpus': 0.0066070556640625, 'memory': 0.00521087646484375}"
1207,4.14582E+11,3,2.60726E+11,2,0,360,2.21495E+11,118,3446902746,"{'cpus': 0.01019287109375, 'memory': 0.0013027191162109375}"
1208,1.40608E+12,6,2.34373E+11,0,0,103,0,308,62264678713,"{'cpus': 0.0401611328125, 'memory': 0.0058135986328125}"
1209,2.42737E+12,5,3.99281E+11,1,0,103,0,1486,3.83899E+11,"{'cpus': 0.0110015869140625, 'memory': 0.0016727447509765625}"
1210,1.72943E+12,5,7.57993E+11,0,0,103,0,1695,96501597753,"{'cpus': 0.009368896484375, 'memory': 0.00254058837890625}"
1211,7.53166E+11,2,3.15269E+11,1,0,117,0,81,3.4655E+11,"{'cpus': 0.00566864013671875, 'memory': 0.0015621185302734375}"
1212,8.87599E+11,2,2.82156E+11,1,0,117,0,14088,1.81931E+11,"{'cpus': 0.00566864013671875, 'memory': 0.0015621185302734375}"
1213,1.4569E+12,6,7.55687E+11,0,0,105,0,9423,95998481,"{'cpus': 0.00662994384765625, 'memory': 0.00368499755859375}"
1214,2.19821E+12,3,3.23371E+11,0,0,0,0,7373,3465867978,"{'cpus': 0.0141754150390625, 'memory': 0.00390625}"
1215,1.7272E+12,5,7.57993E+11,0,0,103,0,1438,55668767,"{'cpus': 0.009368896484375, 'memory': 0.00254058837890625}"
1216,2.39701E+12,0,2.9749E+11,0,0,0,0,29795,6182607654,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1217,9.94407E+11,5,3.00836E+11,2,0,360,2.71642E+11,629,20447175437,"{'cpus': 0.019439697265625, 'memory': 0.0013027191162109375}"
1218,7.56006E+11,6,3.76863E+11,0,1,200,0,148,3.73216E+11,"{'cpus': 0.00704193115234375, 'memory': 0.003509521484375}"
1219,5.12743E+11,6,2.94471E+11,3,1,200,0,350,10367640230,"{'cpus': 0.06591796875, 'memory': 0.009765625}"
1220,1.01152E+12,3,7.96037E+11,0,0,0,0,17669,59504160637,"{'cpus': 0.00566864013671875, 'memory': 0.00262451171875}"
1221,2.53676E+12,2,8.00553E+11,2,0,360,6.98303E+11,911,80364427536,"{'cpus': 0.012939453125, 'memory': 0.0013027191162109375}"
1222,2.55875E+12,2,91792851899,3,0,200,0,923,151864972,"{'cpus': 0.03240966796875, 'memory': 0.0130157470703125}"
1223,2.56519E+12,3,5.01622E+11,0,0,103,0,4342,17354285476,"{'cpus': 0.0087127685546875, 'memory': 0.00615692138671875}"
1224,1.53368E+12,0,2.85748E+11,0,0,0,0,712,2.82893E+11,"{'cpus': 0.0081024169921875, 'memory': 0.00182342529296875}"
1225,1.46637E+12,5,3.30587E+11,2,0,360,3.30587E+11,2133,35882283158,"{'cpus': 0.02288818359375, 'memory': 0.0013027191162109375}"
1226,1.99927E+12,0,2.36368E+11,0,0,0,0,26149,121822961,"{'cpus': 0.0081024169921875, 'memory': 0.003612518310546875}"
1227,0,0,2.8601E+11,3,0,200,2.8601E+11,1495,2.76449E+11,"{'cpus': 0.00475311279296875, 'memory': 0.002849578857421875}"
1228,75001956523,5,7.36855E+11,2,0,360,6.40849E+11,1007,1701811992,"{'cpus': 0.015533447265625, 'memory': 0.0013027191162109375}"
1229,1.07877E+12,5,3.00836E+11,2,0,360,2.71642E+11,1763,19365663241,"{'cpus': 0.020263671875, 'memory': 0.0013027191162109375}"
1230,5.4284E+11,2,7.37836E+11,2,0,103,0,1299,1.758E+11,"{'cpus': 0.00022029876708984375, 'memory': 0.00714874267578125}"
