           Time,  CLOUDLET_MIPS,       USED_RAM,   CLOUDLET_RAM,    CLOUDLET_IO
              0,       114.4667,     0.03675177,    0.002098228,              1
              5,           90.7,     0.03645085,    0.002663136,              1
             10,           78.2,     0.03645085,    0.002824538,              1
             15,           91.5,     0.03625167,     0.00298594,              1
             20,           54.2,     0.03615207,    0.003066641,              1
             25,          104.4,     0.03495696,    0.003066641,              1
             30,       91.16667,     0.03495696,    0.003066641,              1
             35,       121.8333,     0.03376185,    0.003389446,              1
             40,       67.36667,     0.03376185,    0.003389446,              1
             45,       82.23333,     0.03376185,    0.003389446,              1
             50,           76.9,     0.03356267,    0.003416346,              1
             55,       63.96667,     0.04182884,    0.003604649,              1
             60,           70.7,     0.04182884,    0.003631549,              1
             65,           90.6,     0.04182884,    0.003631549,              1
             70,             67,     0.04153007,     0.00368535,              1
             75,           76.7,     0.04063374,    0.003819852,              1
             80,       53.86667,     0.04033496,    0.003873652,              1
             85,       80.16667,     0.04033496,    0.003981254,              1
             90,           75.1,     0.04003618,    0.004115756,              1
             95,          105.7,     0.03943863,    0.004277158,              1
            100,       71.13333,     0.03913985,    0.004357859,              1
            105,       107.6333,     0.03824352,    0.004546161,              1
            110,             68,     0.03794474,    0.004680663,              1
            115,           81.4,     0.03794474,    0.004680663,              1
            120,       105.1333,     0.03704841,    0.004680663,              1
            125,       77.86667,      0.0358533,    0.004815165,              1
            130,       87.36667,     0.03525574,    0.004922767,              1
            135,       67.93333,     0.03525574,    0.004922767,              1
            140,       61.03333,     0.03515615,    0.004949667,              1
            145,       94.56667,     0.03455859,    0.005057268,              1
            150,       90.43333,     0.03376185,     0.00516487,              1
            155,       87.63333,     0.03376185,     0.00516487,              1
            160,           67.6,      0.0331643,     0.00516487,              1
            165,       90.96667,     0.03565411,     0.00516487,              1
            170,           80.3,     0.04063374,     0.00516487,              1
            175,       144.7667,     0.03774555,     0.00516487,       1.683333
            180,           61.4,      0.0358533,     0.00516487,              1
            185,       97.36667,     0.03565411,     0.00516487,              1
            190,       91.46667,     0.03406063,     0.00516487,              1
            195,       123.0333,     0.03635126,     0.00516487,              1
            200,       54.06667,     0.04093251,     0.00516487,              1
            205,       57.73333,     0.04093251,     0.00516487,              1
            210,           80.9,     0.04093251,     0.00516487,              1
            215,       124.1333,     0.04003618,    0.005245571,       1.676667
            220,           60.4,     0.03913985,    0.005487674,              1
            225,       86.93333,     0.03913985,    0.005487674,              1
            230,           70.6,     0.03913985,    0.005487674,              1
            235,       99.13333,     0.03884107,    0.005541475,           1.03
            240,       54.13333,     0.03794474,    0.005810479,              1
            245,       71.66667,     0.03794474,    0.005810479,              1
            250,       77.76667,     0.03794474,    0.005810479,              1
            255,       60.53333,     0.03764596,     0.00589118,              1
            260,           73.8,     0.03645085,    0.006052582,              1
            265,           70.7,     0.03645085,    0.006052582,              1
            270,           91.4,     0.03625167,    0.006106383,              1
            275,       64.16667,     0.03615207,    0.006133283,              1
            280,       60.66667,     0.03525574,    0.006375386,              1
            285,       43.46667,     0.03525574,    0.006375386,              1
            290,           23.4,     0.03525574,    0.006375386,              1
            295,       30.23333,     0.03525574,    0.006375386,              1
            300,       40.16667,     0.03525574,    0.006375386,              1
            305,           30.2,     0.03495696,    0.006456087,              1
            310,       20.06667,     0.03406063,    0.006698191,              1
            315,       13.46667,     0.03406063,    0.006698191,              1
            320,           20.2,     0.03406063,    0.006698191,              1
            325,       7.066667,     0.03406063,    0.006698191,              1
            330,       16.63333,     0.03406063,    0.006698191,              1
            335,       10.33333,     0.03406063,    0.006698191,              1
            340,       10.03333,     0.03406063,    0.006698191,              1
            345,              4,     0.03406063,    0.006698191,              1
            350,       9.933333,     0.03406063,    0.006698191,              1
            355,           10.1,     0.03406063,    0.006698191,              1
